Íàçâàíèå;Âðåìÿ
Grand Theft Auto V;554 hrs on record
DARK SOULSâ„¢: Prepare To Die Edition;328 hrs on record
DARK SOULSâ„¢ II;309 hrs on record
Divinity: Original Sin 2;290 hrs on record
PLAYERUNKNOWN'S BATTLEGROUNDS;245 hrs on record
Minion Masters;107 hrs on record
Battlerite;94 hrs on record
Divinity: Original Sin Enhanced Edition;92 hrs on record
The Elder Scrolls V: Skyrim;90 hrs on record
Conan Exiles;86 hrs on record
Path of Exile;78 hrs on record
Paladins;75 hrs on record
The Elder Scrolls Online;74 hrs on record
Rocket League;73 hrs on record
Crossout;68 hrs on record
Dying Light;62 hrs on record
Nioh: Complete Edition;59 hrs on record
The Witcher 3: Wild Hunt;56 hrs on record
DARK SOULSâ„¢ III;54 hrs on record
Black Squad;42 hrs on record
PAYDAY 2;39 hrs on record
DARK SOULSâ„¢ II: Scholar of the First Sin;38 hrs on record
CODE VEIN;36 hrs on record
Warhammer: Vermintide 2;35 hrs on record
Nine Parchments;34 hrs on record
The Forest;34 hrs on record
The Witcher Adventure Game;33 hrs on record
Baldur's Gate: Enhanced Edition;32 hrs on record
The Witcher: Enhanced Edition;30 hrs on record
Borderlands 2 RU;29 hrs on record
Borderlands GOTY Enhanced;28 hrs on record
Tales of Zestiria;26 hrs on record
Don't Starve Together;23 hrs on record
DARK SOULSâ„¢: REMASTERED;23 hrs on record
Ace of Spades;21 hrs on record
Icewind Dale: Enhanced Edition;21 hrs on record
100% Orange Juice;19.6 hrs on record
Gears 5;18.2 hrs on record
Shadow Warrior 2;18.1 hrs on record
Katana ZERO;17.2 hrs on record
Dota 2;16.3 hrs on record
The Witcher 2: Assassins of Kings Enhanced Edition;16.0 hrs on record
Muse Dash;15.8 hrs on record
Portal 2;14.6 hrs on record
Dead or School;14.3 hrs on record
Saints Row IV;13.9 hrs on record
Tabletop Simulator;13.8 hrs on record
Bayonetta;13.6 hrs on record
Terraria;12.7 hrs on record
Hero Siege;12.2 hrs on record
Trine;11.4 hrs on record
Trine 2;10.6 hrs on record
Murderous Pursuits;10.4 hrs on record
Saints Row: Gat out of Hell;10.0 hrs on record
Chivalry: Medieval Warfare;9.9 hrs on record
Catherine Classic;9.8 hrs on record
Trine 4: The Nightmare Prince;9.7 hrs on record
Titan Quest Anniversary Edition;7.8 hrs on record
Deathtrap;7.6 hrs on record
Ninjin: Clash of Carrots;7.6 hrs on record
Aragami;7.0 hrs on record
METAL GEAR RISING: REVENGEANCE;6.1 hrs on record
The Incredible Adventures of Van Helsing;6.1 hrs on record
Tom Clancy's Ghost Recon Phantoms - EU;5.9 hrs on record
War of the Roses;5.8 hrs on record
The Mean Greens - Plastic Warfare;5.8 hrs on record
F.E.A.R. 3;5.7 hrs on record
Trine 3: The Artifacts of Power;5.3 hrs on record
MONSTER HUNTER: WORLD;5.0 hrs on record
NEKOPARA Vol. 1;4.9 hrs on record
Counter-Strike: Global Offensive;4.6 hrs on record
The Darkness II;4.3 hrs on record
Grand Theft Auto IV: The Complete Edition;4.0 hrs on record
Caster;3.8 hrs on record
Halo: The Master Chief Collection;3.8 hrs on record
Closers;3.8 hrs on record
Redeemer;3.3 hrs on record
Kingdom Two Crowns;3.1 hrs on record
Meadow;2.8 hrs on record
EVE Online;2.6 hrs on record
Magicka;2.4 hrs on record
Nidhogg;2.3 hrs on record
Gothic;2.0 hrs on record
Killing Floor 2;2.0 hrs on record
Shroud of the Avatar: Forsaken Virtues;2.0 hrs on record
Borderlands GOTY;2.0 hrs on record
Albion Online;1.7 hrs on record
Loadout;1.6 hrs on record
7 Days to Die;1.5 hrs on record
Iâ€™m not a Monster;1.4 hrs on record
Destiny 2;1.2 hrs on record
LET IT DIE;1.1 hrs on record
The Elder Scrolls V: Skyrim Special Edition;1.1 hrs on record
Monster Girl Island: Prologue;1.1 hrs on record
Trove;1.0 hrs on record
Bright Memory;1.0 hrs on record
Survived By;1.0 hrs on record
Tiger Knight: Empire War;0.8 hrs on record
Prey;0.8 hrs on record
NieR:Automataâ„¢;0.8 hrs on record
Crusader Kings II;0.8 hrs on record
Blackwake;0.8 hrs on record
Super Meat Boy;0.8 hrs on record
Total War: SHOGUN 2;0.8 hrs on record
Company of Heroes 2;0.7 hrs on record
Satellite Reign;0.6 hrs on record
Spec Ops: The Line;0.6 hrs on record
Warhammer 40,000: Space Marine;0.6 hrs on record
Brawlhalla;0.6 hrs on record
Alien Swarm: Reactive Drop;0.5 hrs on record
Undertale;0.5 hrs on record
Stronghold Crusader Extreme HD;0.4 hrs on record
Just Causeâ„¢ 3: Multiplayer Mod;0.4 hrs on record
Kenshi;0.4 hrs on record
Rabi-Ribi;0.4 hrs on record
Painkiller Hell & Damnation;0.4 hrs on record
TrackMania Nations Forever;0.3 hrs on record
Kingdom: Classic;0.3 hrs on record
Tales of Berseria;0.3 hrs on record
Geneshift: Battle Royale Turbo;0.3 hrs on record
Getting Over It with Bennett Foddy;0.3 hrs on record
Neverwinter;0.3 hrs on record
SOS;0.3 hrs on record
Only If;0.3 hrs on record
Eador. Masters of the Broken World;0.3 hrs on record
Arma 2;0.2 hrs on record
Mirror;0.2 hrs on record
Outland;0.2 hrs on record
Villagers and Heroes;0.2 hrs on record
Alien Swarm;0.2 hrs on record
Unturned;0.2 hrs on record
Insurgency;0.2 hrs on record
Unreal Tournament 3: Black Edition;0.2 hrs on record
TRISTOY;0.2 hrs on record
Celeste;0.2 hrs on record
Life is Strangeâ„¢;0.1 hrs on record
Blast Out;0.1 hrs on record
Sins of a Solar Empire: Rebellion;0.1 hrs on record
Really Big Sky;
Blade Symphony;
The Pirate: Caribbean Hunt;
Spellsworn;
The Vagrant;
Clicker Heroes;
Blazing Core (beta);
Blue Estate;
KROSMAGA;
200% Mixed Juice!;
Acceleration of SUGURI 2;
Age of Wonders III;
AppGameKit Classic;
ArcaniA;
ArcaniA: Fall of Setarrif;
A Story About My Uncle;
Baldur's Gate II: Enhanced Edition;
Between Two Castles - Digital Edition;
Beyond Divinity;
Borderlands 2;
Borderlands 2: Headhunter 1: Bloody Harvest;
Borderlands 2: Headhunter 2: Wattle Gobbler;
Borderlands 2: Headhunter 3: Mercenary Day;
Borderlands 2: Headhunter 4: Wedding Day Massacre;
Borderlands 2: Headhunter 5: Son of Crawmerax;
Borderlands: The Pre-Sequel;
Borderlands DLC: Claptrapâ€™s New Robot Revolution;
Borderlands DLC: Mad Moxxi's Underdome Riot;
Borderlands DLC: The Secret Armory of General Knoxx;
Borderlands DLC: The Zombie Island of Dr. Ned;
Braveland;
Conan Exiles - Complete Edition;
Conan Exiles - Testlive Client;
Crash Time II;
Crusader Kings II: African Portraits ;
Crusader Kings II: South Indian Portraits 5 Year Anniversary Gift;
Crusader Kings II: The Reaper's Due;
Danganronpa 2: Goodbye Despair;
Danganronpa: Trigger Happy Havoc;
Danganronpa V3: Killing Harmony;
Darksiders;
Darksiders II Deathinitive Edition;
Darksiders Warmastered Edition;
DARK SOULSâ„¢ II - Season Pass;
DARK SOULSâ„¢ II Crown of the Old Iron King;
Deiland;
Deponia: The Complete Journey;
DiRT Rally;
Dishonored 2;
Divine Divinity;
Divinity: Original Sin (Classic);
Drawful 2;
Dungeon Siege;
Dungeon Siege 2;
Dungeon Siege III;
Endless Space;
Everlasting Summer;
Fable - The Lost Chapters;
For Honor;
For Honor - Public Test;
Gears 5 - Ultra-HD Texture Pack;
Go! Go! Nippon! ~My First Trip to Japan~;
Gothic 3;
Gothic 3 Forsaken Gods Enhanced Edition;
Gothic II: Gold Edition;
Gothic Playable Teaser;
Gravity Wars;
Guacamelee! Super Turbo Championship Edition;
Kabounce;
Kingdom Come: Deliverance;
Kingdom Come: Deliverance - A Woman's Lot;
Kingdom Come: Deliverance - Treasures of the Past;
Kingdom Come: Deliverance â€“ Band of Bastards;
Kingdom Come: Deliverance â€“ From the Ashes;
Kingdom Come: Deliverance â€“ The Amorous Adventures of Bold Sir Hans Capon;
LEGOÂ® The Hobbitâ„¢;
LEGOÂ® The Lord of the Ringsâ„¢;
Metro 2033;
NEKOPALIVE;
NEKOPARA Extra;
NEKOPARA Vol. 0;
NEKOPARA Vol. 2;
NEKOPARA Vol. 3;
NieR:Automataâ„¢ - 3C3C1D119440927;
Paladins - Public Test;
Phantom Breaker: Battle Grounds;
Phantom Breaker: Battle Grounds - Kurisu Makise + Level 99 Pack;
Princess Remedy In A Heap of Trouble;
Quake Champions;
Rise of the Tomb Raider;
River City Girls;
Sakura Angels;
Sakura Beach;
Sakura Beach 2;
Sakura Fantasy Chapter 1;
Sakura MMO;
Sakura Spirit;
SOS: Classic;
"STEINS;GATE";
"STEINS;GATE 0";
"STEINS;GATE: Linear Bounded Phenogram";
"STEINS;GATE: My Darling's Embrace";
"STEINS;GATE ELITE";
Stories: The Path of Destinies;
Stronghold Crusader HD;
The Elder Scrolls V: Skyrim - Dawnguard;
The Elder Scrolls V: Skyrim - Dragonborn;
The Elder Scrolls V: Skyrim - Hearthfire;
The Flame in the Flood;
The Incredible Adventures of Van Helsing: Thaumaturge;
The Incredible Adventures of Van Helsing II;
The Incredible Adventures of Van Helsing II - OST;
The Incredible Adventures of Van Helsing III;
The Witcher 3: Wild Hunt - Expansion Pass;
The Witcher 3: Wild Hunt - New Finisher Animations;
Ticket to Ride: First Journey;
Tomb Raider;
Tomb Raider: Anniversary;
Tomb Raider: Legend;
Tomb Raider: Underworld;
Transistor;
Transpose;
Treasures of Turan Pack;
Unreal Gold;
Unreal II: The Awakening;
Unreal Tournament 2004;
Unreal Tournament: Game of the Year Edition;
Van Helsing II: Ink Hunt;
War of the Roses: Kingmaker;
War of the Roses Balance Beta;
